# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=35
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=bayes/samples/performance.samples_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,shape1.1,shape1.2,shape1.3,shape1.4,shape1.5,shape1.6,shape1.7,shape1.8,shape1.9,shape1.10,shape1.11,shape1.12,shape1.13,shape1.14,shape2.1,shape2.2,shape2.3,shape2.4,shape2.5,shape2.6,shape2.7,shape2.8,shape2.9,shape2.10,shape2.11,shape2.12,shape2.13,shape2.14,stretch.1,stretch.2,stretch.3,stretch.4,stretch.5,stretch.6,stretch.7,stretch.8,stretch.9,stretch.10,stretch.11,stretch.12,stretch.13,stretch.14,min_max.1.1,min_max.2.1,min_max.3.1,min_max.4.1,min_max.5.1,min_max.6.1,min_max.7.1,min_max.8.1,min_max.9.1,min_max.10.1,min_max.11.1,min_max.12.1,min_max.13.1,min_max.14.1,min_max.1.2,min_max.2.2,min_max.3.2,min_max.4.2,min_max.5.2,min_max.6.2,min_max.7.2,min_max.8.2,min_max.9.2,min_max.10.2,min_max.11.2,min_max.12.2,min_max.13.2,min_max.14.2,nu.1,nu.2,nu.3,nu.4,nu.5,nu.6,nu.7,nu.8,nu.9,nu.10,nu.11,nu.12,nu.13,nu.14,mu_shape1,mu_shape2,mu_stretch,mu_min,mu_max,mu_nu,x_min.1,x_min.2,x_min.3,x_min.4,x_min.5,x_min.6,x_min.7,x_min.8,x_min.9,x_min.10,x_min.11,x_min.12,x_min.13,x_min.14,x_max.1,x_max.2,x_max.3,x_max.4,x_max.5,x_max.6,x_max.7,x_max.8,x_max.9,x_max.10,x_max.11,x_max.12,x_max.13,x_max.14
-2459.4,1,0.015625,3,7,0,3382.04,2.49847,2.59731,2.57894,2.68576,5.27701,6.15971,2.3221,2.18011,5.86927,2.17308,2.39651,3.26766,8.31429,3.89618,2.83662,2.47048,8.45403,6.19297,2.15018,2.20755,3.72542,2.39117,6.76883,2.50777,2.74754,3.26419,4.9858,4.00607,0.789777,2.37215,1.32291,0.736446,0.321758,2.5254,2.43601,0.213195,3.37716,5.01883,1.51638,1.63577,2.71163,0.450651,1.61724,-0.827475,1.62348,0.736523,1.54693,0.265921,-1.13166,1.60535,-0.162322,0.515583,-0.335157,-1.7954,-0.403559,1.24667,1.81834,-0.355882,1.80298,2.80741,1.68636,0.978962,1.0678,1.86883,2.20843,1.64617,1.46088,2.61491,6.21775,1.59828,3.09182,0.425843,2.11282,4.53285,0.293315,0.791604,0.222845,3.84122,2.97889,0.867062,0.575242,1.73008,0.912594,0.3952,1.39324,-1.12993,0.683964,0.45775,0.45025,0.152515,1.61724,-0.827475,1.62348,0.736523,1.54693,0.265921,-1.13166,1.60535,-0.162322,0.515583,-0.335157,-1.7954,-0.403559,1.24667,1.81834,-0.355882,1.80298,2.80741,1.68636,0.978962,1.0678,1.86883,2.20843,1.64617,1.46088,2.61491,6.21775,1.59828
-2459.4,0,10.9517,0,1,1,2499.58,2.49847,2.59731,2.57894,2.68576,5.27701,6.15971,2.3221,2.18011,5.86927,2.17308,2.39651,3.26766,8.31429,3.89618,2.83662,2.47048,8.45403,6.19297,2.15018,2.20755,3.72542,2.39117,6.76883,2.50777,2.74754,3.26419,4.9858,4.00607,0.789777,2.37215,1.32291,0.736446,0.321758,2.5254,2.43601,0.213195,3.37716,5.01883,1.51638,1.63577,2.71163,0.450651,1.61724,-0.827475,1.62348,0.736523,1.54693,0.265921,-1.13166,1.60535,-0.162322,0.515583,-0.335157,-1.7954,-0.403559,1.24667,1.81834,-0.355882,1.80298,2.80741,1.68636,0.978962,1.0678,1.86883,2.20843,1.64617,1.46088,2.61491,6.21775,1.59828,3.09182,0.425843,2.11282,4.53285,0.293315,0.791604,0.222845,3.84122,2.97889,0.867062,0.575242,1.73008,0.912594,0.3952,1.39324,-1.12993,0.683964,0.45775,0.45025,0.152515,1.61724,-0.827475,1.62348,0.736523,1.54693,0.265921,-1.13166,1.60535,-0.162322,0.515583,-0.335157,-1.7954,-0.403559,1.24667,1.81834,-0.355882,1.80298,2.80741,1.68636,0.978962,1.0678,1.86883,2.20843,1.64617,1.46088,2.61491,6.21775,1.59828
-2459.4,0,1.19873,0,1,1,2499.17,2.49847,2.59731,2.57894,2.68576,5.27701,6.15971,2.3221,2.18011,5.86927,2.17308,2.39651,3.26766,8.31429,3.89618,2.83662,2.47048,8.45403,6.19297,2.15018,2.20755,3.72542,2.39117,6.76883,2.50777,2.74754,3.26419,4.9858,4.00607,0.789777,2.37215,1.32291,0.736446,0.321758,2.5254,2.43601,0.213195,3.37716,5.01883,1.51638,1.63577,2.71163,0.450651,1.61724,-0.827475,1.62348,0.736523,1.54693,0.265921,-1.13166,1.60535,-0.162322,0.515583,-0.335157,-1.7954,-0.403559,1.24667,1.81834,-0.355882,1.80298,2.80741,1.68636,0.978962,1.0678,1.86883,2.20843,1.64617,1.46088,2.61491,6.21775,1.59828,3.09182,0.425843,2.11282,4.53285,0.293315,0.791604,0.222845,3.84122,2.97889,0.867062,0.575242,1.73008,0.912594,0.3952,1.39324,-1.12993,0.683964,0.45775,0.45025,0.152515,1.61724,-0.827475,1.62348,0.736523,1.54693,0.265921,-1.13166,1.60535,-0.162322,0.515583,-0.335157,-1.7954,-0.403559,1.24667,1.81834,-0.355882,1.80298,2.80741,1.68636,0.978962,1.0678,1.86883,2.20843,1.64617,1.46088,2.61491,6.21775,1.59828
-2459.4,1.84792e-309,0.0722879,3,15,1,2517.61,2.49847,2.59731,2.57894,2.68576,5.27701,6.15971,2.3221,2.18011,5.86927,2.17308,2.39651,3.26766,8.31429,3.89618,2.83662,2.47048,8.45403,6.19297,2.15018,2.20755,3.72542,2.39117,6.76883,2.50777,2.74754,3.26419,4.9858,4.00607,0.789777,2.37215,1.32291,0.736446,0.321758,2.5254,2.43601,0.213195,3.37716,5.01883,1.51638,1.63577,2.71163,0.450651,1.61724,-0.827475,1.62348,0.736523,1.54693,0.265921,-1.13166,1.60535,-0.162322,0.515583,-0.335157,-1.7954,-0.403559,1.24667,1.81834,-0.355882,1.80298,2.80741,1.68636,0.978962,1.0678,1.86883,2.20843,1.64617,1.46088,2.61491,6.21775,1.59828,3.09182,0.425843,2.11282,4.53285,0.293315,0.791604,0.222845,3.84122,2.97889,0.867062,0.575242,1.73008,0.912594,0.3952,1.39324,-1.12993,0.683964,0.45775,0.45025,0.152515,1.61724,-0.827475,1.62348,0.736523,1.54693,0.265921,-1.13166,1.60535,-0.162322,0.515583,-0.335157,-1.7954,-0.403559,1.24667,1.81834,-0.355882,1.80298,2.80741,1.68636,0.978962,1.0678,1.86883,2.20843,1.64617,1.46088,2.61491,6.21775,1.59828
-1871.52,1,0.00335463,5,31,0,2497.43,2.48212,2.58557,2.58421,2.6865,5.12191,6.02608,2.32749,2.17487,5.85655,2.17335,2.3942,3.2631,8.36977,3.93496,2.84853,2.4779,8.04264,6.14979,2.16381,2.20923,3.68136,2.39771,6.6711,2.49946,2.72159,3.22635,5.0037,3.96525,0.770975,2.35873,1.29017,0.747011,0.31818,2.51742,2.46937,0.208663,3.3284,5.0335,1.48969,1.68357,2.49658,0.457806,1.62668,-0.835329,1.62436,0.781633,1.57366,0.264118,-1.2048,1.61988,-0.194536,0.53515,-0.318387,-1.81914,-0.370229,1.24466,1.82085,-0.343171,1.81387,2.91949,1.71264,0.966309,0.846743,1.88396,1.98192,1.70292,1.45691,2.33165,6.20406,1.581,3.18285,0.447959,1.21088,4.1288,0.297433,0.737407,0.229804,3.24488,3.10853,0.833464,0.572972,1.65179,0.908517,0.386799,1.43496,-1.13403,0.713909,0.467966,0.506813,0.154337,1.62668,-0.835329,1.62436,0.781633,1.57366,0.264118,-1.2048,1.61988,-0.194536,0.53515,-0.318387,-1.81914,-0.370229,1.24466,1.82085,-0.343171,1.81387,2.91949,1.71264,0.966309,0.846743,1.88396,1.98192,1.70292,1.45691,2.33165,6.20406,1.581
-1694.09,1,0.00274951,5,31,0,1913.41,2.45769,2.59572,2.58545,2.69896,5.11407,5.93524,2.31606,2.17335,5.94308,2.16214,2.41114,3.21648,8.79825,3.91315,2.86602,2.49768,7.70795,5.92617,2.1606,2.19276,3.62766,2.39298,6.60601,2.4934,2.76535,3.19165,5.11859,3.86416,0.713353,2.32069,1.31737,0.762297,0.322136,2.46576,2.3398,0.206615,3.42878,5.07086,1.4565,1.68043,2.52626,0.464821,1.65623,-0.78856,1.66757,0.809932,1.56817,0.253584,-1.205,1.53478,-0.179501,0.585182,-0.302682,-1.79245,-0.355314,1.21921,1.86164,-0.288433,1.85007,2.92053,1.7005,0.927439,0.82788,1.78533,2.03803,1.75194,1.48426,2.37716,6.67986,1.55446,3.19717,0.428131,0.92892,3.87229,0.302086,0.750974,0.238458,2.61561,3.23649,0.87762,0.614051,1.53759,0.938274,0.380302,1.51864,-1.07686,0.728528,0.451478,0.525447,0.165386,1.65623,-0.78856,1.66757,0.809932,1.56817,0.253584,-1.205,1.53478,-0.179501,0.585182,-0.302682,-1.79245,-0.355314,1.21921,1.86164,-0.288433,1.85007,2.92053,1.7005,0.927439,0.82788,1.78533,2.03803,1.75194,1.48426,2.37716,6.67986,1.55446
-1461.71,0.769655,0.00256848,6,63,0,1734.35,2.41424,2.55131,2.5647,2.70829,5.12874,5.58846,2.35032,2.14976,5.70307,2.17566,2.38786,3.28747,8.11966,3.65749,2.87107,2.47059,7.01791,5.34667,2.16174,2.18446,3.70909,2.34712,6.02737,2.45851,2.81163,3.2071,5.10356,3.78941,0.735435,2.67812,1.12151,0.777788,0.364391,2.64005,2.26877,0.184691,3.69904,4.79024,1.61486,1.53389,2.4577,0.480781,1.68822,-0.841963,1.77335,0.844928,1.51849,0.243662,-1.28223,1.61237,-0.029811,0.687403,-0.260888,-1.8199,-0.391053,1.21172,1.89286,-0.33331,1.95825,2.98518,1.63689,0.988488,0.665556,1.88236,2.05797,1.78364,1.41334,2.35936,9.33788,1.54673,2.82822,0.458055,0.533183,2.99646,0.346641,0.662546,0.271998,1.73556,3.93891,0.790609,0.683595,1.29215,0.989717,0.420272,1.50284,-0.804834,0.855904,0.499389,0.473724,0.216811,1.68822,-0.841963,1.77335,0.844928,1.51849,0.243662,-1.28223,1.61237,-0.029811,0.687403,-0.260888,-1.8199,-0.391053,1.21172,1.89286,-0.33331,1.95825,2.98518,1.63689,0.988488,0.665556,1.88236,2.05797,1.78364,1.41334,2.35936,9.33788,1.54673
-1090.06,0.903361,0.00127742,9,511,0,1504.29,2.30696,2.56088,2.54445,2.79603,5.14083,4.65773,2.39826,2.15735,7.42679,2.15636,2.43131,2.99375,7.85737,4.54155,2.86502,2.50308,4.64334,4.26918,2.18268,2.13764,4.48417,2.41947,3.86873,2.39258,2.69353,2.98448,3.84086,3.09148,0.691944,1.70748,0.901637,0.581437,0.511387,2.07517,2.71078,0.175812,2.60037,2.44704,1.49946,1.39635,1.92896,0.564241,1.55763,-0.720203,1.47383,1.54101,1.51138,0.130994,-1.26624,1.27489,0.45658,0.830425,-0.697066,-1.86281,0.0897916,0.970609,1.72564,-0.238427,1.66051,5.03294,1.66223,0.863396,0.26974,1.52414,2.00205,2.14537,0.0715953,2.26599,9.46633,1.33983,3.40955,0.747363,0.342901,3.03535,0.499607,0.421917,0.61899,0.752897,4.70482,0.770526,0.614984,0.982947,0.612612,0.455534,2.38894,0.356383,1.37311,0.712946,1.20075,0.835739,1.55763,-0.720203,1.47383,1.54101,1.51138,0.130994,-1.26624,1.27489,0.45658,0.830425,-0.697066,-1.86281,0.0897916,0.970609,1.72564,-0.238427,1.66051,5.03294,1.66223,0.863396,0.26974,1.52414,2.00205,2.14537,0.0715953,2.26599,9.46633,1.33983
-963.131,0.989363,0.00101179,9,511,0,1133.39,2.30011,2.35724,2.43917,2.62284,3.84402,4.43321,2.3819,2.17849,4.60192,2.14407,2.73988,2.72197,7.29777,3.94236,2.58357,2.62533,4.30096,3.69087,2.15481,2.1283,4.09467,2.33975,4.05797,2.60125,2.68213,3.43198,3.18185,3.47376,1.18519,3.37182,0.951192,0.57763,0.540469,1.16898,2.40636,0.139245,1.30676,2.09536,1.43703,0.823882,1.01612,0.643562,1.37014,-0.685597,1.82683,1.68946,1.39906,-0.234214,-0.919057,1.16746,0.969522,1.39749,-0.277601,-1.81724,0.962782,1.10184,1.53681,0.151329,1.99452,3.88686,1.47963,0.959803,1.13473,1.38915,2.01595,2.15714,1.06178,2.59597,8.75515,1.31578,2.3067,0.991369,0.44253,5.55271,1.05884,0.649575,0.53806,1.42482,5.11424,1.25327,0.883907,0.881241,0.803615,0.421285,3.22865,2.2935,1.34297,0.41708,2.75058,6.53196,1.37014,-0.685597,1.82683,1.68946,1.39906,-0.234214,-0.919057,1.16746,0.969522,1.39749,-0.277601,-1.81724,0.962782,1.10184,1.53681,0.151329,1.99452,3.88686,1.47963,0.959803,1.13473,1.38915,2.01595,2.15714,1.06178,2.59597,8.75515,1.31578
-880.442,0.999966,0.00109586,12,4095,0,1012.51,2.8111,3.6371,2.01262,3.26427,2.87817,4.22246,3.03415,4.07832,3.83151,2.52147,4.05989,5.2471,2.13869,2.17516,2.07051,4.38147,5.19986,4.51194,2.70885,3.11855,5.4145,3.58656,5.21794,4.45151,3.4564,3.60243,2.6181,3.46248,1.43753,0.137102,1.01933,0.248793,0.113931,1.28579,1.78118,0.310441,1.00333,1.67179,1.37606,0.009691,2.64781e-05,1.92778,1.62952,0.155345,1.34321,2.18955,2.12868,-0.0674799,0.601001,0.640754,1.37061,1.03029,0.124836,1.63056,1.59727,0.0157264,1.72788,0.58652,2.33759,3.12995,3.31957,0.673736,0.751314,2.34074,2.03206,1.13555,0.46085,2.2003,1.59731,5.23875,2.37069,1.0275,0.582995,2.69987,0.535047,0.473653,0.646866,1.32297,5.07167,0.64243,0.651997,0.71386,0.842172,19.7426,2.84873,3.1838,0.735157,0.738625,1.9883,2.10741,1.62952,0.155345,1.34321,2.18955,2.12868,-0.0674799,0.601001,0.640754,1.37061,1.03029,0.124836,1.63056,1.59727,0.0157264,1.72788,0.58652,2.33759,3.12995,3.31957,0.673736,0.751314,2.34074,2.03206,1.13555,0.46085,2.2003,1.59731,5.23875
