# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=35
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=bayes/samples/performance.samples_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,shape1.1,shape1.2,shape1.3,shape1.4,shape1.5,shape1.6,shape1.7,shape1.8,shape1.9,shape1.10,shape1.11,shape1.12,shape1.13,shape1.14,shape2.1,shape2.2,shape2.3,shape2.4,shape2.5,shape2.6,shape2.7,shape2.8,shape2.9,shape2.10,shape2.11,shape2.12,shape2.13,shape2.14,stretch.1,stretch.2,stretch.3,stretch.4,stretch.5,stretch.6,stretch.7,stretch.8,stretch.9,stretch.10,stretch.11,stretch.12,stretch.13,stretch.14,min_max.1.1,min_max.2.1,min_max.3.1,min_max.4.1,min_max.5.1,min_max.6.1,min_max.7.1,min_max.8.1,min_max.9.1,min_max.10.1,min_max.11.1,min_max.12.1,min_max.13.1,min_max.14.1,min_max.1.2,min_max.2.2,min_max.3.2,min_max.4.2,min_max.5.2,min_max.6.2,min_max.7.2,min_max.8.2,min_max.9.2,min_max.10.2,min_max.11.2,min_max.12.2,min_max.13.2,min_max.14.2,nu.1,nu.2,nu.3,nu.4,nu.5,nu.6,nu.7,nu.8,nu.9,nu.10,nu.11,nu.12,nu.13,nu.14,mu_shape1,mu_shape2,mu_stretch,mu_min,mu_max,mu_nu,x_min.1,x_min.2,x_min.3,x_min.4,x_min.5,x_min.6,x_min.7,x_min.8,x_min.9,x_min.10,x_min.11,x_min.12,x_min.13,x_min.14,x_max.1,x_max.2,x_max.3,x_max.4,x_max.5,x_max.6,x_max.7,x_max.8,x_max.9,x_max.10,x_max.11,x_max.12,x_max.13,x_max.14
-1428.43,0.333333,0.0625,4,15,0,1896.41,5.59696,3.07483,2.98236,3.5416,4.37797,4.45128,2.79874,3.56555,6.31856,5.80483,2.40415,7.47956,2.69767,2.48899,6.58941,4.80904,2.37695,6.44725,3.21276,2.62455,7.32903,2.74008,6.37019,2.96885,4.15406,3.33835,2.30398,4.78083,2.19437,1.01723,0.405275,0.543679,2.01009,0.185432,2.18338,0.188057,0.620239,0.128646,0.640474,4.67376,0.454837,6.55296,0.819872,-0.67956,-1.18767,1.21794,-1.3963,-0.0724172,1.24586,-0.472064,1.32717,1.39136,-0.762577,1.10104,0.428046,-0.513781,1.69232,0.915232,4.50301,5.95194,-0.429845,2.28728,1.59428,-0.106905,1.55906,2.55604,-0.593455,3.02031,0.591168,1.59181,4.165,0.825939,1.18119,5.09205,0.581262,0.168867,0.435023,1.00978,2.40266,0.388896,1.26365,0.990494,0.741774,0.296971,-0.952614,-0.957452,1.37912,-0.390333,1.02284,1.99557,0.819872,-0.67956,-1.18767,1.21794,-1.3963,-0.0724172,1.24586,-0.472064,1.32717,1.39136,-0.762577,1.10104,0.428046,-0.513781,1.69232,0.915232,4.50301,5.95194,-0.429845,2.28728,1.59428,-0.106905,1.55906,2.55604,-0.593455,3.02031,0.591168,1.59181
-1428.43,0,3.25885,0,1,1,1468.97,5.59696,3.07483,2.98236,3.5416,4.37797,4.45128,2.79874,3.56555,6.31856,5.80483,2.40415,7.47956,2.69767,2.48899,6.58941,4.80904,2.37695,6.44725,3.21276,2.62455,7.32903,2.74008,6.37019,2.96885,4.15406,3.33835,2.30398,4.78083,2.19437,1.01723,0.405275,0.543679,2.01009,0.185432,2.18338,0.188057,0.620239,0.128646,0.640474,4.67376,0.454837,6.55296,0.819872,-0.67956,-1.18767,1.21794,-1.3963,-0.0724172,1.24586,-0.472064,1.32717,1.39136,-0.762577,1.10104,0.428046,-0.513781,1.69232,0.915232,4.50301,5.95194,-0.429845,2.28728,1.59428,-0.106905,1.55906,2.55604,-0.593455,3.02031,0.591168,1.59181,4.165,0.825939,1.18119,5.09205,0.581262,0.168867,0.435023,1.00978,2.40266,0.388896,1.26365,0.990494,0.741774,0.296971,-0.952614,-0.957452,1.37912,-0.390333,1.02284,1.99557,0.819872,-0.67956,-1.18767,1.21794,-1.3963,-0.0724172,1.24586,-0.472064,1.32717,1.39136,-0.762577,1.10104,0.428046,-0.513781,1.69232,0.915232,4.50301,5.95194,-0.429845,2.28728,1.59428,-0.106905,1.55906,2.55604,-0.593455,3.02031,0.591168,1.59181
-1428.43,0,0.249054,0,1,1,1457.7,5.59696,3.07483,2.98236,3.5416,4.37797,4.45128,2.79874,3.56555,6.31856,5.80483,2.40415,7.47956,2.69767,2.48899,6.58941,4.80904,2.37695,6.44725,3.21276,2.62455,7.32903,2.74008,6.37019,2.96885,4.15406,3.33835,2.30398,4.78083,2.19437,1.01723,0.405275,0.543679,2.01009,0.185432,2.18338,0.188057,0.620239,0.128646,0.640474,4.67376,0.454837,6.55296,0.819872,-0.67956,-1.18767,1.21794,-1.3963,-0.0724172,1.24586,-0.472064,1.32717,1.39136,-0.762577,1.10104,0.428046,-0.513781,1.69232,0.915232,4.50301,5.95194,-0.429845,2.28728,1.59428,-0.106905,1.55906,2.55604,-0.593455,3.02031,0.591168,1.59181,4.165,0.825939,1.18119,5.09205,0.581262,0.168867,0.435023,1.00978,2.40266,0.388896,1.26365,0.990494,0.741774,0.296971,-0.952614,-0.957452,1.37912,-0.390333,1.02284,1.99557,0.819872,-0.67956,-1.18767,1.21794,-1.3963,-0.0724172,1.24586,-0.472064,1.32717,1.39136,-0.762577,1.10104,0.428046,-0.513781,1.69232,0.915232,4.50301,5.95194,-0.429845,2.28728,1.59428,-0.106905,1.55906,2.55604,-0.593455,3.02031,0.591168,1.59181
-1419.87,0.135306,0.0122337,4,15,0,1469.53,5.59879,3.0738,2.97308,3.54523,4.36923,4.42018,2.79224,3.57724,6.3588,5.83048,2.41508,7.52219,2.70734,2.487,6.56476,4.75789,2.37995,6.37275,3.20169,2.62024,7.38043,2.73568,6.36403,2.95829,4.14839,3.33555,2.30876,4.78323,2.2358,1.00662,0.401383,0.544131,2.0404,0.184152,2.20171,0.190998,0.605191,0.129392,0.628787,4.70127,0.456682,6.41996,0.81845,-0.664817,-1.2038,1.20834,-1.39809,-0.041903,1.23667,-0.486984,1.30534,1.39541,-0.754715,1.09773,0.412053,-0.538757,1.69738,0.912872,4.52414,5.91581,-0.430432,2.30074,1.5877,-0.12475,1.53593,2.57288,-0.584523,3.02239,0.572022,1.52513,4.12245,0.814869,1.17671,5.18735,0.583499,0.171139,0.429535,0.995407,2.44204,0.385571,1.25413,0.994395,0.742548,0.297851,-0.931913,-0.958647,1.40249,-0.389734,1.02433,2.03419,0.81845,-0.664817,-1.2038,1.20834,-1.39809,-0.041903,1.23667,-0.486984,1.30534,1.39541,-0.754715,1.09773,0.412053,-0.538757,1.69738,0.912872,4.52414,5.91581,-0.430432,2.30074,1.5877,-0.12475,1.53593,2.57288,-0.584523,3.02239,0.572022,1.52513
-997.025,0.97087,0.000735037,12,4095,0,1463.02,2.01407,2.01868,2.68001,2.06095,2.61993,2.01314,3.0824,2.82584,2.00595,2.032,3.42599,2.00605,2.13334,3.17427,2.00111,2.06125,2.68492,2.00043,3.08209,2.9329,2.00018,2.01307,2.00031,3.08409,2.63273,2.72188,2.50091,2.56363,0.774922,1.95937,0.467876,0.325909,0.639267,1.23657,0.227973,3.48333,2.56707,1.34665,2.62426,0.0112019,1.82953,0.00135225,1.40204,-0.635915,-0.859484,1.65654,-1.30796,0.697338,1.65575,-0.757844,1.4519,0.877836,-1.1127,1.67299,-1.70798,1.41076,1.46132,0.962212,4.65511,3.88184,-1.16397,0.873519,1.96652,0.536937,1.84012,1.59173,-0.782246,1.91303,0.225705,1.41122,2.04982,0.692718,0.844356,2.22795,0.939178,0.273164,0.424601,1.10184,2.51281,1.00351,0.578356,0.647121,0.693558,0.304208,3.1435,3.58626,1.14959,0.423602,1.56205,3.56071,1.40204,-0.635915,-0.859484,1.65654,-1.30796,0.697338,1.65575,-0.757844,1.4519,0.877836,-1.1127,1.67299,-1.70798,1.41076,1.46132,0.962212,4.65511,3.88184,-1.16397,0.873519,1.96652,0.536937,1.84012,1.59173,-0.782246,1.91303,0.225705,1.41122
-911.375,0.87587,0.000517038,13,8191,0,1038.29,2.09047,2.7229,2.45128,3.13645,2.95313,2.00105,2.93868,2.78786,2.04478,6.32034,2.70424,2.00977,3.03749,3.30559,2.00368,5.5877,2.21238,2.00059,2.79546,4.30881,2.00211,4.37786,2.00009,2.36739,3.42872,3.79735,4.91424,3.89174,1.84841,0.788725,1.93338,0.295043,0.906396,1.34334,2.45618,0.234773,0.357274,0.170071,0.716452,0.0632991,0.44661,0.00788071,1.20679,0.0678433,-0.875325,1.04233,-1.3241,0.885891,1.24999,-0.0581943,1.14014,2.19192,-0.685612,0.274763,0.319272,0.702722,1.31528,1.10038,4.74069,4.72389,-1.10144,0.937122,1.46565,0.683491,1.4657,2.41196,-0.315114,0.769618,0.844993,0.702939,1.91337,0.697308,10.6637,3.74077,0.697155,0.429769,0.761656,1.03341,2.41838,0.899421,0.86205,0.623682,0.666917,0.505754,2.22424,2.38794,0.799537,0.26038,1.39488,2.54044,1.20679,0.0678433,-0.875325,1.04233,-1.3241,0.885891,1.24999,-0.0581943,1.14014,2.19192,-0.685612,0.274763,0.319272,0.702722,1.31528,1.10038,4.74069,4.72389,-1.10144,0.937122,1.46565,0.683491,1.4657,2.41196,-0.315114,0.769618,0.844993,0.702939
-855.009,0.893698,0.000315718,13,8191,0,963.021,2.08947,3.38459,2.82956,2.06839,2.45705,2.0138,3.39251,4.54419,2.67787,2.05644,4.64424,2.21011,3.2937,2.44149,2.04242,2.13537,3.06423,2.00795,4.47798,2.64024,2.00665,3.087,2.00023,2.9029,3.67868,2.75688,2.62241,3.79545,0.00464863,1.69319,1.64734,0.489298,0.825646,1.38478,0.41613,0.620528,1.15679,1.24997,2.30842,0.598813,0.482551,0.0171474,1.60261,0.318959,-1.10367,0.808427,-0.713541,0.502283,0.685487,0.24758,1.45689,1.54441,-0.64908,0.23944,0.335407,0.672937,2.51905,0.629965,5.16378,5.02421,-0.17892,0.976022,1.64458,0.535514,1.88476,2.09032,-0.123722,4.69108,0.485094,0.673063,3.05278,0.941784,6.94178,6.09658,0.616473,0.545422,0.594615,0.765794,5.11522,1.20718,0.609692,1.37149,0.655972,0.381761,2.41291,2.05051,0.967206,0.481396,1.95202,3.50738,1.60261,0.318959,-1.10367,0.808427,-0.713541,0.502283,0.685487,0.24758,1.45689,1.54441,-0.64908,0.23944,0.335407,0.672937,2.51905,0.629965,5.16378,5.02421,-0.17892,0.976022,1.64458,0.535514,1.88476,2.09032,-0.123722,4.69108,0.485094,0.673063
-805.924,0.999927,0.00022312,13,13676,1,891.147,3.06827,4.17591,2.30514,2.14769,2.27009,2.24352,4.0355,2.92668,4.28168,2.09017,2.72386,2.284,3.4117,2.49398,2.41167,2.7725,2.29188,2.00903,2.68254,3.36726,2.00416,4.28394,2.00091,4.57723,3.80714,2.30406,2.41026,2.89821,0.0246945,1.30169,1.93947,0.336742,0.319958,1.79218,1.19174,0.647537,1.37381,1.84039,0.784444,1.11074,0.604853,0.267688,2.02301,-0.00867553,-0.564796,0.733512,-0.581635,-0.168282,1.48909,0.327623,1.5392,1.28102,0.22956,-0.584437,-0.0752162,1.93455,3.21965,0.634435,4.77666,4.85706,3.14337,0.864676,1.76541,0.615714,1.86246,2.15117,0.399397,4.78878,0.184113,1.93463,3.65705,0.777196,7.9124,6.05041,1.30885,0.589387,0.569612,1.23099,5.71173,0.644644,0.600113,3.96811,0.67629,0.390714,2.79168,2.88168,0.891003,0.577832,2.70164,2.34641,2.02301,-0.00867553,-0.564796,0.733512,-0.581635,-0.168282,1.48909,0.327623,1.5392,1.28102,0.22956,-0.584437,-0.0752162,1.93455,3.21965,0.634435,4.77666,4.85706,3.14337,0.864676,1.76541,0.615714,1.86246,2.15117,0.399397,4.78878,0.184113,1.93463
-798.412,0.128922,0.000235384,13,8191,0,853.015,3.26418,3.70831,2.26711,2.15693,2.27231,2.19542,4.4334,2.75694,4.67475,2.0814,2.72225,2.26814,3.76523,2.57355,2.59536,3.02155,2.24985,2.00837,2.63735,3.2708,2.00309,4.49937,2.00076,4.24304,3.3804,2.34296,2.47064,2.94465,0.0216962,1.68438,2.01378,0.441848,0.294043,1.38267,1.23284,0.747359,1.22227,1.96965,0.698277,0.876809,0.854445,0.222067,2.00701,0.0915858,-0.38269,0.850509,-0.206059,-0.225081,1.43357,0.439056,1.53018,1.26585,0.639662,-0.406114,0.089637,1.74979,3.36991,0.934078,4.83892,4.13149,5.43029,0.603792,1.77266,0.687005,1.86448,2.11413,0.810317,4.87016,0.29985,1.74987,2.52662,0.8624,9.85976,4.99194,1.13324,0.536575,0.544393,0.983173,4.69955,0.625873,0.727644,3.8071,0.587778,0.45791,2.95094,2.87665,0.708672,0.757212,2.83389,1.82819,2.00701,0.0915858,-0.38269,0.850509,-0.206059,-0.225081,1.43357,0.439056,1.53018,1.26585,0.639662,-0.406114,0.089637,1.74979,3.36991,0.934078,4.83892,4.13149,5.43029,0.603792,1.77266,0.687005,1.86448,2.11413,0.810317,4.87016,0.29985,1.74987
-791.2,0.999629,1.67233e-05,15,32767,0,852.234,3.15652,5.22556,2.18092,2.08516,2.30598,2.20451,3.00683,3.27938,3.7773,2.13655,2.8411,2.29257,3.37424,2.66361,2.60731,3.42585,2.2968,2.00538,3.35245,3.1548,2.00291,3.53115,2.00104,3.41338,3.17648,2.46452,2.95822,3.09527,0.0176772,1.19429,1.4436,0.684891,0.560942,0.908784,1.97707,1.04101,1.5321,1.24121,0.528922,1.00808,0.551697,0.406293,2.17461,0.0934223,-1.14903,1.56526,-0.060404,-0.35625,1.11527,0.458957,1.64293,1.21241,-0.139549,-0.502449,0.659884,1.28246,3.49701,0.930059,5.13359,4.25373,5.49759,0.737839,1.36741,0.672426,1.95994,1.87091,-0.0030834,5.086,0.753797,1.28252,3.36512,0.847297,6.13248,7.63065,3.14907,0.583639,0.694251,1.0787,5.00915,0.931815,0.822456,5.74181,0.821734,0.452243,2.91128,2.5489,0.841627,0.314129,2.6048,2.25228,2.17461,0.0934223,-1.14903,1.56526,-0.060404,-0.35625,1.11527,0.458957,1.64293,1.21241,-0.139549,-0.502449,0.659884,1.28246,3.49701,0.930059,5.13359,4.25373,5.49759,0.737839,1.36741,0.672426,1.95994,1.87091,-0.0030834,5.086,0.753797,1.28252
-786.663,0.999996,1.92072e-05,15,32767,0,848.429,3.7092,5.19782,2.28498,2.08166,2.24008,2.15232,2.79805,3.35067,3.24462,2.10687,3.16573,2.21167,2.90929,2.425,2.62682,4.19731,2.35268,2.00549,2.84541,2.58239,2.00231,3.52367,2.00139,3.40914,3.06398,2.40805,3.51814,3.36043,0.0427896,1.21887,1.77776,0.662866,0.955997,1.14662,1.62868,1.61278,1.71474,1.43394,0.943688,1.39918,0.860505,0.348129,2.16524,0.252189,-0.814265,1.30548,-0.103807,-0.118444,1.24925,-0.0864469,1.3077,1.35693,-0.0487698,0.140237,0.553471,1.12259,3.24536,0.909242,5.12442,4.31456,4.82,0.591075,1.55717,0.138793,1.58264,1.74319,0.0958541,4.78491,0.725783,1.12265,2.795,0.897978,11.0126,6.35113,3.92122,0.469956,0.56381,1.03081,4.44403,0.674967,0.679632,4.95964,0.575526,0.39596,2.73957,2.3591,0.789287,0.0961963,2.3491,1.66745,2.16524,0.252189,-0.814265,1.30548,-0.103807,-0.118444,1.24925,-0.0864469,1.3077,1.35693,-0.0487698,0.140237,0.553471,1.12259,3.24536,0.909242,5.12442,4.31456,4.82,0.591075,1.55717,0.138793,1.58264,1.74319,0.0958541,4.78491,0.725783,1.12265
-771.806,0.780446,2.28314e-05,15,32767,0,823.41,3.66717,3.25286,2.25767,2.1004,2.26495,2.14339,3.03289,3.41562,3.55242,2.11009,3.85835,2.3611,3.10927,2.341,3.00904,3.9611,2.41588,2.00533,2.45525,2.45472,2.00266,3.73223,2.00148,3.35862,3.38125,2.3895,3.01366,3.38573,0.0573686,0.960421,1.62596,0.527552,1.00202,1.14076,1.71946,1.62109,1.89301,2.02343,1.06111,1.68041,0.690765,0.273746,2.03836,-0.1126,-0.826374,1.23651,-0.141343,-0.207332,0.972254,0.227227,1.52762,1.7296,0.382806,0.0813735,0.205937,0.434713,3.48139,0.531918,5.02455,4.19207,4.66076,0.80687,1.26951,0.475871,1.79746,2.03601,0.579973,4.5215,0.405467,0.434801,4.4895,0.849884,8.93353,7.59974,6.37934,0.561124,0.688343,1.13655,5.44274,0.827772,0.837504,7.20837,0.820229,0.478226,2.70414,2.81552,1.11276,0.262554,1.97574,1.63161,2.03836,-0.1126,-0.826374,1.23651,-0.141343,-0.207332,0.972254,0.227227,1.52762,1.7296,0.382806,0.0813735,0.205937,0.434713,3.48139,0.531918,5.02455,4.19207,4.66076,0.80687,1.26951,0.475871,1.79746,2.03601,0.579973,4.5215,0.405467,0.434801
-774.763,0.999998,1.39193e-05,15,32767,0,822.652,3.62382,3.21742,2.22198,2.09508,2.23833,2.15586,3.01083,3.41393,3.55365,2.11916,3.7283,2.3696,3.41954,2.37487,3.01123,3.99493,2.39823,2.00512,2.43242,2.42799,2.00269,3.66157,2.00173,3.47191,3.38187,2.35572,2.89163,3.17115,0.0587278,1.06347,1.73663,0.543482,1.03587,1.09056,1.5668,1.67304,2.06262,1.99575,1.24406,1.60021,0.663152,0.293827,2.11076,-0.149525,-0.804722,1.27496,0.0455082,-0.198292,1.01007,0.295346,1.52047,1.73814,0.464451,0.0677018,0.174455,0.321271,3.73616,0.540379,5.07882,4.42234,5.05641,0.810283,1.3092,0.538984,1.79669,2.02769,0.651338,4.71469,0.347097,0.321357,4.05321,0.727275,9.77443,7.68546,6.58009,0.540116,0.673246,0.950676,5.13293,0.847929,0.880299,7.17001,0.846936,0.499803,2.58908,2.82714,1.1029,0.312573,2.12687,1.66386,2.11076,-0.149525,-0.804722,1.27496,0.0455082,-0.198292,1.01007,0.295346,1.52047,1.73814,0.464451,0.0677018,0.174455,0.321271,3.73616,0.540379,5.07882,4.42234,5.05641,0.810283,1.3092,0.538984,1.79669,2.02769,0.651338,4.71469,0.347097,0.321357
