# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=35
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=bayes/samples/performance.samples_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,shape1.1,shape1.2,shape1.3,shape1.4,shape1.5,shape1.6,shape1.7,shape1.8,shape1.9,shape1.10,shape1.11,shape1.12,shape1.13,shape1.14,shape2.1,shape2.2,shape2.3,shape2.4,shape2.5,shape2.6,shape2.7,shape2.8,shape2.9,shape2.10,shape2.11,shape2.12,shape2.13,shape2.14,stretch.1,stretch.2,stretch.3,stretch.4,stretch.5,stretch.6,stretch.7,stretch.8,stretch.9,stretch.10,stretch.11,stretch.12,stretch.13,stretch.14,min_max.1.1,min_max.2.1,min_max.3.1,min_max.4.1,min_max.5.1,min_max.6.1,min_max.7.1,min_max.8.1,min_max.9.1,min_max.10.1,min_max.11.1,min_max.12.1,min_max.13.1,min_max.14.1,min_max.1.2,min_max.2.2,min_max.3.2,min_max.4.2,min_max.5.2,min_max.6.2,min_max.7.2,min_max.8.2,min_max.9.2,min_max.10.2,min_max.11.2,min_max.12.2,min_max.13.2,min_max.14.2,nu.1,nu.2,nu.3,nu.4,nu.5,nu.6,nu.7,nu.8,nu.9,nu.10,nu.11,nu.12,nu.13,nu.14,mu_shape1,mu_shape2,mu_stretch,mu_min,mu_max,mu_nu,x_min.1,x_min.2,x_min.3,x_min.4,x_min.5,x_min.6,x_min.7,x_min.8,x_min.9,x_min.10,x_min.11,x_min.12,x_min.13,x_min.14,x_max.1,x_max.2,x_max.3,x_max.4,x_max.5,x_max.6,x_max.7,x_max.8,x_max.9,x_max.10,x_max.11,x_max.12,x_max.13,x_max.14
-2164.35,1,0.03125,3,7,0,2845.81,5.73702,5.08174,3.79683,3.14587,5.68147,2.48073,2.2009,2.14369,3.88506,6.2917,2.24682,2.19774,4.75133,2.62176,3.24303,2.63096,2.34341,2.95033,2.39495,8.12556,8.57013,2.70997,2.39725,2.49204,2.90191,2.2246,4.6486,3.44604,0.307857,3.5342,1.20268,1.35259,0.340401,0.499468,5.9211,1.41722,0.400048,1.32868,6.24156,6.4839,2.33425,0.816301,-0.792432,0.0373881,1.02844,0.152347,1.25666,-0.539894,-1.72907,-1.13104,-0.841458,-1.39157,-1.59096,1.0833,-0.946423,-0.127435,-0.39843,1.52371,1.22301,0.289071,1.52823,0.943116,1.21199,2.05125,-0.50466,-1.13232,-0.514569,1.24755,1.77945,1.08954,2.90451,2.78701,0.299437,0.142839,2.84634,1.0338,0.250589,1.15556,0.313299,0.199812,0.634847,0.821137,1.87216,0.196239,-1.30551,-1.44544,-0.17629,-1.71217,-1.55929,6.44275,-0.792432,0.0373881,1.02844,0.152347,1.25666,-0.539894,-1.72907,-1.13104,-0.841458,-1.39157,-1.59096,1.0833,-0.946423,-0.127435,-0.39843,1.52371,1.22301,0.289071,1.52823,0.943116,1.21199,2.05125,-0.50466,-1.13232,-0.514569,1.24755,1.77945,1.08954
-2164.35,0,10.9517,0,1,1,2224.7,5.73702,5.08174,3.79683,3.14587,5.68147,2.48073,2.2009,2.14369,3.88506,6.2917,2.24682,2.19774,4.75133,2.62176,3.24303,2.63096,2.34341,2.95033,2.39495,8.12556,8.57013,2.70997,2.39725,2.49204,2.90191,2.2246,4.6486,3.44604,0.307857,3.5342,1.20268,1.35259,0.340401,0.499468,5.9211,1.41722,0.400048,1.32868,6.24156,6.4839,2.33425,0.816301,-0.792432,0.0373881,1.02844,0.152347,1.25666,-0.539894,-1.72907,-1.13104,-0.841458,-1.39157,-1.59096,1.0833,-0.946423,-0.127435,-0.39843,1.52371,1.22301,0.289071,1.52823,0.943116,1.21199,2.05125,-0.50466,-1.13232,-0.514569,1.24755,1.77945,1.08954,2.90451,2.78701,0.299437,0.142839,2.84634,1.0338,0.250589,1.15556,0.313299,0.199812,0.634847,0.821137,1.87216,0.196239,-1.30551,-1.44544,-0.17629,-1.71217,-1.55929,6.44275,-0.792432,0.0373881,1.02844,0.152347,1.25666,-0.539894,-1.72907,-1.13104,-0.841458,-1.39157,-1.59096,1.0833,-0.946423,-0.127435,-0.39843,1.52371,1.22301,0.289071,1.52823,0.943116,1.21199,2.05125,-0.50466,-1.13232,-0.514569,1.24755,1.77945,1.08954
-2164.35,0,1.19873,0,1,1,2213.6,5.73702,5.08174,3.79683,3.14587,5.68147,2.48073,2.2009,2.14369,3.88506,6.2917,2.24682,2.19774,4.75133,2.62176,3.24303,2.63096,2.34341,2.95033,2.39495,8.12556,8.57013,2.70997,2.39725,2.49204,2.90191,2.2246,4.6486,3.44604,0.307857,3.5342,1.20268,1.35259,0.340401,0.499468,5.9211,1.41722,0.400048,1.32868,6.24156,6.4839,2.33425,0.816301,-0.792432,0.0373881,1.02844,0.152347,1.25666,-0.539894,-1.72907,-1.13104,-0.841458,-1.39157,-1.59096,1.0833,-0.946423,-0.127435,-0.39843,1.52371,1.22301,0.289071,1.52823,0.943116,1.21199,2.05125,-0.50466,-1.13232,-0.514569,1.24755,1.77945,1.08954,2.90451,2.78701,0.299437,0.142839,2.84634,1.0338,0.250589,1.15556,0.313299,0.199812,0.634847,0.821137,1.87216,0.196239,-1.30551,-1.44544,-0.17629,-1.71217,-1.55929,6.44275,-0.792432,0.0373881,1.02844,0.152347,1.25666,-0.539894,-1.72907,-1.13104,-0.841458,-1.39157,-1.59096,1.0833,-0.946423,-0.127435,-0.39843,1.52371,1.22301,0.289071,1.52823,0.943116,1.21199,2.05125,-0.50466,-1.13232,-0.514569,1.24755,1.77945,1.08954
-1657.29,0.14288,0.0722879,4,21,1,2086.77,5.70184,4.90144,3.74959,3.16518,5.27025,2.4878,2.21704,2.15037,3.85463,6.07186,2.25894,2.21613,4.92525,2.58112,3.24548,2.62661,2.33542,2.95693,2.39613,7.52675,7.42856,2.72859,2.39944,2.4702,2.91482,2.24786,4.78109,3.59178,0.318854,2.92939,1.39319,1.399,0.320508,0.476191,5.7147,1.40183,0.355028,1.24239,4.79901,5.95316,2.09411,0.838682,-0.783721,0.104585,1.02733,0.0103968,1.27299,-0.600038,-1.63233,-1.11088,-0.821801,-1.47179,-1.63857,1.032,-1.01757,-0.193773,-0.412276,1.70854,1.22767,0.144797,1.54873,1.00211,1.01297,1.79067,-0.508899,-1.1961,-0.473672,1.21573,1.94529,0.873342,2.54003,1.10707,0.323614,0.161275,1.11674,0.724246,0.272556,1.11869,0.292799,0.204889,0.691084,0.689543,0.861878,0.22663,-1.08499,-1.1396,0.0434839,-1.65428,-1.48853,5.37754,-0.783721,0.104585,1.02733,0.0103968,1.27299,-0.600038,-1.63233,-1.11088,-0.821801,-1.47179,-1.63857,1.032,-1.01757,-0.193773,-0.412276,1.70854,1.22767,0.144797,1.54873,1.00211,1.01297,1.79067,-0.508899,-1.1961,-0.473672,1.21573,1.94529,0.873342
-1610.37,0.489996,0.00504586,6,63,0,1690.94,5.49259,4.70799,3.7428,3.19684,5.0036,2.47469,2.21313,2.14809,3.85501,6.05665,2.2521,2.19161,4.81902,2.58718,3.21906,2.58958,2.34729,2.99953,2.42619,7.62597,7.14178,2.71454,2.38578,2.4555,2.85875,2.24122,4.65624,3.52277,0.32663,2.98127,1.40731,1.4056,0.325106,0.461641,5.19363,1.38074,0.362515,1.34292,4.7362,5.34007,1.93072,0.857135,-0.851931,0.0497017,0.984187,-0.0188802,1.31882,-0.620289,-1.58548,-1.11333,-0.747725,-1.48739,-1.67437,1.11472,-1.05601,-0.289504,-0.485468,1.59974,1.17688,0.117125,1.59646,1.09611,1.15382,1.73267,-0.435507,-1.2131,-0.569158,1.29585,1.85806,0.748054,2.67785,1.01578,0.312698,0.176485,1.11479,0.694785,0.273331,1.12171,0.309236,0.21184,0.699481,0.695445,0.794272,0.23579,-1.04564,-0.991509,0.0872686,-1.55481,-1.37649,5.38875,-0.851931,0.0497017,0.984187,-0.0188802,1.31882,-0.620289,-1.58548,-1.11333,-0.747725,-1.48739,-1.67437,1.11472,-1.05601,-0.289504,-0.485468,1.59974,1.17688,0.117125,1.59646,1.09611,1.15382,1.73267,-0.435507,-1.2131,-0.569158,1.29585,1.85806,0.748054
-1242.85,0.999669,0.000920233,9,511,0,1655.34,4.09326,4.36931,3.45155,3.12356,4.06475,2.6241,2.22575,2.10018,3.45422,5.3922,2.21854,2.19155,4.31559,2.44773,3.40189,2.65586,2.32833,2.8884,2.5002,5.25222,5.30194,2.91857,2.35718,2.37311,2.97715,2.24964,4.19181,3.94392,0.279088,2.56504,1.41512,1.54543,0.309781,0.364058,3.43748,1.0785,0.441367,1.87395,3.43837,3.00052,1.72984,1.02635,-0.695096,0.00106797,1.01174,0.12327,1.07457,-0.434392,-1.68647,-1.39347,-0.73937,-1.51593,-1.59091,1.06457,-1.27288,-0.294118,-0.121479,1.76866,1.24989,0.26636,1.31136,0.789025,0.865569,0.0396622,-0.500321,-1.23298,-0.591399,1.21715,1.79103,0.771088,1.97048,0.755702,0.345504,0.408302,0.750675,0.537764,0.588076,0.997334,0.58899,0.387139,0.728535,0.621532,0.718443,0.345036,-0.123868,0.216026,0.643634,-1.39012,-1.02074,6.27121,-0.695096,0.00106797,1.01174,0.12327,1.07457,-0.434392,-1.68647,-1.39347,-0.73937,-1.51593,-1.59091,1.06457,-1.27288,-0.294118,-0.121479,1.76866,1.24989,0.26636,1.31136,0.789025,0.865569,0.0396622,-0.500321,-1.23298,-0.591399,1.21715,1.79103,0.771088
-1041.08,0.964659,0.00083378,10,1023,0,1290.84,3.1418,4.06092,3.16369,2.91484,3.51495,2.31312,2.55294,2.0494,2.29929,2.65975,2.20292,2.3913,2.37915,2.47004,2.97654,2.24798,2.83076,4.28295,2.62676,2.95133,2.92603,2.67746,2.58663,2.1753,2.35341,3.49034,3.37816,3.43844,0.294103,0.907012,1.51972,3.48779,0.241874,1.30042,1.78502,1.79337,0.299564,2.0653,1.67255,1.35802,0.58834,0.757015,-1.5602,1.49458,0.976501,-0.378135,1.19182,-1.41188,-1.52419,-1.16847,-0.0739179,-1.64253,-1.21093,1.38636,-1.82746,-0.927649,-1.30555,1.92936,1.34311,-0.144102,1.29753,0.956158,1.01292,0.599953,0.299056,-0.516689,0.622052,1.61074,-1.76141,-0.224517,2.66951,0.732357,0.376909,0.909876,0.773935,0.564997,0.612774,1.05271,2.62377,0.566735,0.749414,0.570562,0.72004,0.365136,5.35876,5.073,2.16795,0.419319,2.30704,2.02457,-1.5602,1.49458,0.976501,-0.378135,1.19182,-1.41188,-1.52419,-1.16847,-0.0739179,-1.64253,-1.21093,1.38636,-1.82746,-0.927649,-1.30555,1.92936,1.34311,-0.144102,1.29753,0.956158,1.01292,0.599953,0.299056,-0.516689,0.622052,1.61074,-1.76141,-0.224517
-882.161,0.951477,0.000746812,10,1023,0,1080.57,3.28106,4.07755,3.4377,3.9896,4.01613,2.38669,2.70636,2.02484,2.51949,2.72572,2.22934,2.31985,2.95725,3.34735,3.16517,2.16833,2.91436,4.21812,2.69802,3.60421,2.93213,3.19667,3.38336,2.10281,2.59893,3.65091,5.9494,3.67386,0.248163,0.638971,1.31038,3.02792,0.34041,1.54481,1.66693,1.31876,0.699577,2.11119,2.72517,1.12524,0.886525,1.02957,-0.912878,0.919942,1.10036,0.109878,1.0416,-1.14773,-1.56791,-0.616737,0.382627,-1.66609,-1.54544,1.11093,-1.78189,-0.60481,-0.598898,1.26873,1.46104,0.495829,1.18212,0.564567,1.03849,1.06364,0.990415,-0.0457247,0.590733,1.30903,-1.6606,0.471508,2.55506,0.794469,0.399019,2.42085,0.775719,0.499132,0.673796,1.01771,5.25337,0.945057,0.685193,0.735044,0.673626,0.461164,2.71816,2.73166,1.11245,0.0526808,0.258404,4.20587,-0.912878,0.919942,1.10036,0.109878,1.0416,-1.14773,-1.56791,-0.616737,0.382627,-1.66609,-1.54544,1.11093,-1.78189,-0.60481,-0.598898,1.26873,1.46104,0.495829,1.18212,0.564567,1.03849,1.06364,0.990415,-0.0457247,0.590733,1.30903,-1.6606,0.471508
-875.334,0.999074,0.000684523,12,4095,0,933.326,4.72684,2.46804,3.81853,2.46034,3.80803,5.58499,2.23589,2.25717,4.04771,3.51502,6.88067,2.7242,4.16737,4.48296,5.0045,2.60557,4.34566,3.41423,4.78665,4.48463,2.74865,2.38176,4.50064,2.05815,5.33229,2.94837,2.30975,3.94518,1.93365,2.39251,0.186654,0.636817,2.4772,1.96975,1.85515,1.0419,2.85578,0.488413,0.540882,0.403248,2.74569,1.38766,-0.394107,1.11323,0.77128,0.309312,1.01331,-1.02948,-1.66226,-1.23749,-0.541205,0.621299,-0.397651,1.22804,0.626833,-1.09966,0.596948,1.78447,1.88806,0.661799,1.30838,0.935685,0.109229,-0.575615,0.448644,0.908655,0.59779,2.18412,0.902154,0.437105,2.24601,0.799956,0.396729,2.04488,0.821409,0.491705,0.707424,0.877753,4.58123,0.452312,0.658149,0.692852,0.772136,0.389846,3.62652,3.12197,1.28581,0.258712,0.465145,3.68125,-0.394107,1.11323,0.77128,0.309312,1.01331,-1.02948,-1.66226,-1.23749,-0.541205,0.621299,-0.397651,1.22804,0.626833,-1.09966,0.596948,1.78447,1.88806,0.661799,1.30838,0.935685,0.109229,-0.575615,0.448644,0.908655,0.59779,2.18412,0.902154,0.437105
-867.578,0.92156,0.000763047,12,4095,0,927.78,3.08226,2.3606,2.90842,2.48935,3.51801,2.60585,4.2252,3.31412,3.50269,3.48051,2.12827,2.14589,2.32845,2.53372,2.79017,5.56742,3.3594,3.16575,2.64375,3.45129,4.7844,2.53893,3.44035,2.03029,2.72459,3.51667,2.74344,3.81463,1.96349,1.11946,0.190891,3.21655,1.0574,1.40342,1.38391,0.0933437,0.736608,3.37676,3.33522,0.518389,0.711301,2.29354,0.0943625,1.18036,0.153371,-1.20544,0.595351,-0.166231,-0.693379,-0.363639,-1.45682,0.697318,0.112975,1.09187,0.0322546,-0.46061,0.664558,1.51137,3.4981,0.765335,1.9916,0.684494,0.447497,4.63858,1.06505,0.839906,0.316653,1.17617,0.062935,1.07299,2.94182,0.866699,0.56013,1.87616,0.813505,0.467676,0.706535,1.12233,3.92002,0.904635,0.675742,0.659318,0.75589,0.374102,2.71101,3.30545,1.4487,-0.431557,1.75033,3.59102,0.0943625,1.18036,0.153371,-1.20544,0.595351,-0.166231,-0.693379,-0.363639,-1.45682,0.697318,0.112975,1.09187,0.0322546,-0.46061,0.664558,1.51137,3.4981,0.765335,1.9916,0.684494,0.447497,4.63858,1.06505,0.839906,0.316653,1.17617,0.062935,1.07299
